,stateid,timeid,dose1,dose2
1916,PY,67.0,59854,6869
1917,PY,68.0,35283,9080
1918,PY,69.0,24100,34636
1919,PY,70.0,36157,19851
1920,PY,71.0,26270,9889
1921,PY,72.0,24703,6520
1922,PY,73.0,23033,4694
1923,PY,74.0,18666,6396
1924,RJ,1.0,0,0
1925,RJ,2.0,0,0
1926,RJ,3.0,0,0
1927,RJ,4.0,0,0
1928,RJ,5.0,0,0
1929,RJ,6.0,0,0
1930,RJ,7.0,0,0
1931,RJ,8.0,0,0
1932,RJ,9.0,0,0
1933,RJ,10.0,0,0
1934,RJ,11.0,0,0
1935,RJ,12.0,0,0
1936,RJ,13.0,0,0
1937,RJ,14.0,0,0
1938,RJ,15.0,0,0
1939,RJ,16.0,0,0
1940,RJ,17.0,0,0
1941,RJ,18.0,0,0
1942,RJ,19.0,0,0
1943,RJ,20.0,0,0
1944,RJ,21.0,0,0
1945,RJ,22.0,0,0
1946,RJ,23.0,0,0
1947,RJ,24.0,0,0
1948,RJ,25.0,0,0
1949,RJ,26.0,0,0
1950,RJ,27.0,0,0
1951,RJ,28.0,0,0
1952,RJ,29.0,0,0
1953,RJ,30.0,0,0
1954,RJ,31.0,0,0
1955,RJ,32.0,0,0
1956,RJ,33.0,0,0
1957,RJ,34.0,0,0
1958,RJ,35.0,0,0
1959,RJ,36.0,0,0
1960,RJ,37.0,0,0
1961,RJ,38.0,0,0
1962,RJ,39.0,0,0
1963,RJ,40.0,0,0
1964,RJ,41.0,0,0
1965,RJ,42.0,0,0
1966,RJ,43.0,0,0
1967,RJ,44.0,3285,0
1968,RJ,45.0,44630,0
1969,RJ,46.0,260008,0
1970,RJ,47.0,126859,0
1971,RJ,48.0,150788,0
1972,RJ,49.0,187668,36825
1973,RJ,50.0,16240,184117
1974,RJ,51.0,915155,98478
1975,RJ,52.0,648245,124376
1976,RJ,53.0,1127685,189443
1977,RJ,54.0,1112215,27122
1978,RJ,55.0,975225,141525
1979,RJ,56.0,2880719,312989
